"Table with row headers in column A and column headers in rows 6, 7, and 8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table HINC-06. Income Distribution to $250,000 or More for Households: 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2016 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination.  Standard errors calculated using replicate weights),,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Races,,,White A.O.I.C.,,,White alone (1),,,"White alone, not Hispanic",,,Black A.O.I.C.,,,Black alone (2),,,Asian A.O.I.C.,,,Asian alone (3),,,Hispanic (any race),,
,,Mean Income,,,Mean Income,,,Mean Income,,,Mean Income,,,Mean Income,,,Mean Income,,,Mean Income,,,Mean Income,,,Mean Income,
Income of Household,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error
....Total,"125,819","79,263",403,"100,990","82,052",457,"99,313","82,226",470,"84,445","85,585",531,"17,322","54,805",867,"16,539","54,352",861,"6,640","105,132","2,199","6,328","105,417","2,227","16,667","63,612",837
"Under $5,000","4,235","1,080",40,"2,796","1,094",50,"2,709","1,097",51,"2,132","1,070",57,"1,114","1,151",77,"1,068","1,184",78,288,532,155,265,479,163,653,"1,180",94
"$5,000 to  $9,999","4,071","8,018",31,"2,647","8,033",40,"2,569","8,035",40,"2,004","8,091",46,"1,212","8,031",60,"1,165","8,038",61,145,"7,695",190,138,"7,625",195,673,"7,839",82
"$10,000 to $14,999","6,324","12,397",30,"4,646","12,461",34,"4,561","12,467",35,"3,713","12,560",41,"1,393","12,231",56,"1,354","12,241",57,225,"12,096",145,210,"12,031",150,944,"12,106",66
"$15,000 to $19,999","6,470","17,297",29,"4,922","17,323",36,"4,813","17,327",36,"3,923","17,371",41,"1,259","17,194",61,"1,205","17,187",62,226,"17,161",146,209,"17,166",159,992,"17,137",69
"$20,000 to $24,999","6,765","22,199",28,"5,290","22,229",33,"5,202","22,225",34,"4,149","22,273",37,"1,188","22,163",65,"1,141","22,156",65,232,"21,910",171,218,"21,861",171,"1,175","22,056",59
"$25,000 to $29,999","6,222","27,116",30,"4,958","27,111",33,"4,877","27,112",33,"3,933","27,160",39,995,"27,153",64,965,"27,157",65,210,"27,212",169,203,"27,217",170,"1,028","26,921",67
"$30,000 to $34,999","6,354","32,027",31,"5,024","32,069",35,"4,949","32,070",35,"3,971","32,131",39,"1,049","31,863",68,998,"31,892",69,196,"31,702",173,190,"31,694",178,"1,083","31,819",67
"$35,000 to $39,999","5,743","37,115",28,"4,620","37,142",32,"4,531","37,139",33,"3,696","37,179",39,855,"36,991",77,820,"36,977",76,227,"37,124",147,214,"37,117",152,924,"36,929",72
"$40,000 to $44,999","5,203","41,973",37,"4,191","42,013",40,"4,132","42,012",40,"3,358","42,049",45,756,"41,799",83,729,"41,806",84,226,"41,704",143,215,"41,713",142,836,"41,846",74
"$45,000 to $49,999","5,002","47,180",34,"4,006","47,177",35,"3,924","47,175",35,"3,239","47,228",43,734,"47,165",91,698,"47,170",93,228,"47,161",143,215,"47,155",148,758,"46,972",72
"$50,000 to $54,999","5,078","51,900",31,"4,075","51,925",36,"4,001","51,923",36,"3,376","51,928",42,715,"51,853",81,683,"51,828",81,239,"51,585",161,232,"51,573",165,726,"51,933",71
"$55,000 to $59,999","4,140","57,119",41,"3,393","57,125",47,"3,298","57,122",47,"2,758","57,170",53,541,"57,119",99,497,"57,125",100,201,"57,001",167,182,"56,931",171,619,"56,879",91
"$60,000 to $64,999","4,367","61,940",38,"3,509","61,969",42,"3,462","61,979",43,"2,905","62,011",51,588,"61,879",107,558,"61,904",110,233,"61,569",172,226,"61,588",174,635,"61,820",82
"$65,000 to $69,999","3,733","67,102",42,"3,064","67,134",45,"3,032","67,130",46,"2,584","67,166",50,452,"67,003",112,442,"66,969",109,188,"66,964",189,177,"67,010",198,494,"66,904",91
"$70,000 to $74,999","3,683","72,115",41,"3,013","72,140",44,"2,957","72,136",44,"2,473","72,176",50,476,"71,964",122,444,"71,917",125,169,"72,139",190,163,"72,148",195,548,"72,004",85
"$75,000 to $79,999","3,650","77,022",38,"3,086","77,035",44,"3,029","77,032",44,"2,600","77,023",51,361,"77,052",131,331,"77,079",130,192,"76,741",168,182,"76,691",170,487,"77,041",92
"$80,000 to $84,999","3,354","82,056",42,"2,775","82,065",45,"2,741","82,065",45,"2,376","82,107",48,367,"82,047",131,358,"82,039",134,180,"82,028",174,172,"81,968",175,397,"81,802",112
"$85,000 to $89,999","2,893","87,165",44,"2,436","87,155",50,"2,402","87,155",50,"2,131","87,175",55,316,"87,248",148,293,"87,313",151,115,"87,029",198,114,"87,019",200,322,"87,173",115
"$90,000 to $94,999","2,850","92,019",49,"2,360","92,060",55,"2,328","92,050",54,"2,033","92,055",59,295,"91,852",138,284,"91,809",139,192,"91,861",176,184,"91,788",167,331,"92,016",109
"$95,000 to $99,999","2,452","97,107",49,"2,086","97,070",53,"2,044","97,067",54,"1,800","97,090",59,218,"97,396",160,208,"97,438",166,129,"97,219",226,123,"97,241",231,267,"96,847",115
"$100,000 to $104,999","2,792","101,908",42,"2,375","101,935",47,"2,341","101,943",47,"2,112","101,950",51,251,"101,950",139,239,"101,964",142,162,"101,402",181,158,"101,416",183,253,"101,844",120
"$105,000 to $109,999","2,232","107,092",51,"1,860","107,082",55,"1,841","107,097",56,"1,641","107,116",61,213,"107,279",170,200,"107,356",174,149,"106,911",177,145,"106,941",178,221,"106,918",136
"$110,000 to $114,999","2,158","112,073",54,"1,839","112,109",60,"1,826","112,113",60,"1,658","112,126",63,168,"111,709",142,168,"111,709",142,135,"112,026",180,132,"112,010",183,187,"111,983",177
"$115,000 to $119,999","1,748","117,027",56,"1,490","117,029",60,"1,478","117,028",60,"1,313","117,002",66,144,"117,079",169,142,"117,046",171,108,"116,949",223,104,"116,908",223,173,"117,235",180
"$120,000 to $124,999","1,987","121,965",54,"1,685","121,999",59,"1,661","121,992",60,"1,490","121,993",64,156,"122,015",166,145,"121,973",167,139,"121,643",200,133,"121,635",197,204,"122,019",125
"$125,000 to $129,999","1,675","126,961",57,"1,462","126,974",61,"1,440","126,985",61,"1,315","126,978",62,149,"126,812",182,136,"126,903",197,73,(B),(B),65,(B),(B),137,"127,089",175
"$130,000 to $134,999","1,474","131,990",68,"1,260","131,955",76,"1,247","131,954",76,"1,140","131,949",81,130,"132,102",174,122,"132,078",184,72,(B),(B),66,(B),(B),127,"131,975",184
"$135,000 to $139,999","1,380","137,101",66,"1,168","137,161",72,"1,149","137,168",72,"1,045","137,190",75,120,"137,076",206,113,"137,100",216,91,"136,268",166,87,"136,199",167,110,"136,953",202
"$140,000 to $144,999","1,220","141,979",70,"1,032","141,976",77,"1,012","141,985",78,920,"141,969",83,87,"141,555",226,81,"141,643",230,103,"142,266",215,100,"142,249",223,116,"142,246",205
"$145,000 to $149,999","1,111","147,145",73,910,"147,143",82,902,"147,140",82,822,"147,120",89,110,"147,303",226,104,"147,243",233,76,"147,060",211,72,(B),(B),92,"147,208",233
"$150,000 to $154,999","1,313","151,768",61,"1,072","151,759",70,"1,051","151,772",70,958,"151,785",74,115,"151,726",207,110,"151,704",215,121,"151,598",190,111,"151,728",194,115,"151,850",211
"$155,000 to $159,999","1,017","157,137",76,854,"157,101",83,850,"157,097",83,781,"157,110",88,62,(B),(B),62,(B),(B),91,"157,423",233,91,"157,413",233,82,"156,804",227
"$160,000 to $164,999",993,"162,080",88,825,"162,123",98,820,"162,123",98,736,"162,175",103,63,(B),(B),60,(B),(B),94,"161,819",246,93,"161,843",249,90,"161,697",278
"$165,000 to $169,999",761,"167,171",80,652,"167,144",89,645,"167,142",89,594,"167,156",93,46,(B),(B),43,(B),(B),59,(B),(B),54,(B),(B),61,(B),(B)
"$170,000 to $174,999",822,"172,199",88,728,"172,228",101,706,"172,213",100,650,"172,225",106,32,(B),(B),28,(B),(B),75,"172,020",300,63,(B),(B),65,(B),(B)
"$175,000 to $179,999",700,"177,157",99,608,"177,146",107,607,"177,145",108,561,"177,118",115,43,(B),(B),42,(B),(B),46,(B),(B),46,(B),(B),47,(B),(B)
"$180,000 to $184,999",677,"182,009",78,570,"182,056",91,564,"182,053",91,519,"182,044",99,45,(B),(B),43,(B),(B),56,(B),(B),56,(B),(B),46,(B),(B)
"$185,000 to $189,999",536,"187,224",94,446,"187,219",97,443,"187,222",98,410,"187,235",98,27,(B),(B),24,(B),(B),56,(B),(B),56,(B),(B),41,(B),(B)
"$190,000 to $194,999",561,"191,951",97,455,"191,926",100,454,"191,926",100,409,"191,892",108,45,(B),(B),44,(B),(B),61,(B),(B),59,(B),(B),48,(B),(B)
"$195,000 to $199,999",431,"197,339",104,381,"197,364",116,379,"197,378",116,355,"197,358",121,7,(B),(B),7,(B),(B),36,(B),(B),36,(B),(B),25,(B),(B)
"$200,000 to $249,999","3,456","220,874",410,"2,906","220,991",465,"2,875","221,005",466,"2,674","221,187",498,200,"220,628","1,465",182,"220,588","1,451",335,"219,766","1,238",331,"219,804","1,251",231,"219,374","1,372"
"$250,000 and over","4,184","411,551","5,980","3,512","410,189","6,769","3,464","409,233","6,829","3,190","405,513","6,906",221,"463,129","28,033",204,"464,525","29,722",460,"403,794","17,414",437,"401,048","17,727",305,"470,622","24,062"